student_id,campus,class_year,course_name,training_format,pre_test_score,post_test_score,completion_status,completion_time_days,satisfaction_score,assessment_attempts,training_hours,enrollment_date,completion_date
60005,Meridian Main Campus,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,46.3,60.2,Completed,22,3.5,1,6.6,2025-04-17,2025-05-09
60005,Meridian Main Campus,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,71.0,,In Progress,,2.9,2,2.6,2025-02-13,
60005,Meridian Main Campus,M1,Trauma-Informed Care & Communication,Digital Workbook,58.4,62.0,Completed,12,3.1,1,5.5,2025-09-11,2025-09-23
60005,Meridian Main Campus,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,46.6,60.3,Completed,3,4.9,1,1.0,2025-10-21,2025-10-24
60005,Meridian Main Campus,M1,Empathic Communication Quick Course,Gamified Microlearning,47.0,65.7,Completed,4,4.6,2,1.5,2025-03-17,2025-03-21
60005,Meridian Main Campus,M1,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,78.8,88.5,Completed,14,3.9,3,3.6,2025-11-04,2025-11-18
60005,Meridian Main Campus,M1,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,30.7,48.6,Completed,8,4.1,3,2.6,2025-04-09,2025-04-17
60006,Riverside Teaching Hospital,M4,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,69.2,82.5,Completed,11,3.0,2,7.7,2025-04-24,2025-05-05
60006,Riverside Teaching Hospital,M4,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,68.2,87.9,Completed,5,3.3,2,5.8,2025-10-07,2025-10-12
60006,Riverside Teaching Hospital,M4,Trauma-Informed Care & Communication,Digital Workbook,91.2,,In Progress,,2.7,1,2.1,2025-06-16,
60006,Riverside Teaching Hospital,M4,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,79.2,99.1,Completed,2,5.0,1,1.0,2025-01-31,2025-02-02
60006,Riverside Teaching Hospital,M4,Empathic Communication Quick Course,Gamified Microlearning,75.5,100.0,Completed,4,4.9,1,1.7,2025-08-08,2025-08-12
60006,Riverside Teaching Hospital,M4,Motivational Interviewing Workshop,Blended,77.9,82.6,Completed,6,4.2,1,2.6,2025-06-14,2025-06-20
60006,Riverside Teaching Hospital,M4,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,74.5,88.2,Completed,4,3.9,1,2.6,2025-07-31,2025-08-04
60007,University Health Partners,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,53.1,61.0,Completed,26,3.3,3,5.7,2025-05-09,2025-06-04
60007,University Health Partners,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,49.4,,In Progress,,3.2,2,3.0,2025-05-21,
60007,University Health Partners,M3,Trauma-Informed Care & Communication,Digital Workbook,64.1,70.4,Completed,17,3.6,2,3.9,2025-06-06,2025-06-23
60007,University Health Partners,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,65.8,81.5,Completed,2,5.0,2,1.2,2025-09-12,2025-09-14
60007,University Health Partners,M3,Empathic Communication Quick Course,Gamified Microlearning,70.5,91.0,Completed,5,3.8,1,1.5,2025-09-12,2025-09-17
60007,University Health Partners,M3,Peer Mentorship & Clinical Team Communication,Blended,48.0,59.4,Completed,19,4.6,2,7.7,2025-08-02,2025-08-21
60008,Community Health Institute,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,48.9,58.1,Completed,35,3.1,2,6.8,2025-05-03,2025-06-07
60008,Community Health Institute,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,33.4,,Dropped,,2.1,1,1.0,2025-04-12,
60008,Community Health Institute,M3,Trauma-Informed Care & Communication,Digital Workbook,56.2,51.8,Completed,14,3.2,1,5.7,2025-11-08,2025-11-22
60008,Community Health Institute,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,47.1,59.6,Completed,2,4.3,3,1.2,2025-10-28,2025-10-30
60008,Community Health Institute,M3,Empathic Communication Quick Course,Gamified Microlearning,54.0,66.3,Completed,6,5.0,3,1.8,2025-08-10,2025-08-16
60008,Community Health Institute,M3,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,42.8,,Not Started,,,0,0.0,2025-06-23,
60008,Community Health Institute,M3,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,50.2,,In Progress,,3.6,3,0.9,2025-04-02,
60008,Community Health Institute,M3,Peer Mentorship & Clinical Team Communication,Blended,45.3,53.2,Completed,27,3.9,3,7.5,2025-10-17,2025-11-13
60009,University Health Partners,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,39.3,39.4,Completed,19,3.7,2,7.0,2025-04-24,2025-05-13
60009,University Health Partners,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,80.7,89.0,Completed,18,3.2,2,5.1,2025-07-07,2025-07-25
60009,University Health Partners,M2,Trauma-Informed Care & Communication,Digital Workbook,59.1,59.8,Completed,7,3.4,2,5.4,2025-02-22,2025-03-01
60009,University Health Partners,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,44.1,62.5,Completed,3,3.9,2,1.0,2025-09-30,2025-10-03
60009,University Health Partners,M2,Empathic Communication Quick Course,Gamified Microlearning,50.2,67.8,Completed,3,3.8,2,1.8,2025-10-27,2025-10-30
60009,University Health Partners,M2,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,41.4,52.5,Completed,10,4.0,2,4.5,2025-10-16,2025-10-26
60009,University Health Partners,M2,Motivational Interviewing Workshop,Blended,59.2,78.4,Completed,5,4.2,1,3.2,2025-08-24,2025-08-29
60010,Community Health Institute,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,45.3,51.4,Completed,24,3.3,1,6.6,2025-08-25,2025-09-18
60010,Community Health Institute,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,49.3,56.8,Completed,16,2.8,1,5.7,2025-05-20,2025-06-05
60010,Community Health Institute,M1,Trauma-Informed Care & Communication,Digital Workbook,77.1,,Not Started,,,0,0.0,2025-01-10,
60010,Community Health Institute,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,56.5,73.5,Completed,3,4.8,1,1.3,2025-09-02,2025-09-05
60010,Community Health Institute,M1,Empathic Communication Quick Course,Gamified Microlearning,66.5,81.3,Completed,7,4.1,2,1.4,2025-06-23,2025-06-30
60010,Community Health Institute,M1,Peer Mentorship & Clinical Team Communication,Blended,58.5,71.7,Completed,17,3.9,3,5.2,2025-05-22,2025-06-08
60010,Community Health Institute,M1,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,52.4,59.3,Completed,9,3.9,1,2.7,2025-01-13,2025-01-22
60011,Riverside Teaching Hospital,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,69.4,80.6,Completed,15,3.7,3,6.8,2025-01-19,2025-02-03
60011,Riverside Teaching Hospital,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,72.2,,Not Started,,,0,0.0,2025-04-29,
60011,Riverside Teaching Hospital,M2,Trauma-Informed Care & Communication,Digital Workbook,65.7,,Not Started,,,0,0.0,2025-01-21,
60011,Riverside Teaching Hospital,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,69.6,91.2,Completed,3,4.2,1,1.0,2025-03-09,2025-03-12
60011,Riverside Teaching Hospital,M2,Empathic Communication Quick Course,Gamified Microlearning,77.8,100.0,Completed,5,4.4,1,1.9,2025-02-04,2025-02-09
60011,Riverside Teaching Hospital,M2,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,80.9,95.9,Completed,18,4.4,1,3.9,2025-02-05,2025-02-23
60011,Riverside Teaching Hospital,M2,Motivational Interviewing Workshop,Blended,60.4,77.1,Completed,10,4.3,1,2.2,2025-10-08,2025-10-18
60011,Riverside Teaching Hospital,M2,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,69.5,85.7,Completed,4,3.5,1,2.9,2025-07-07,2025-07-11
60012,Riverside Teaching Hospital,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,57.2,65.9,Completed,15,3.0,2,5.4,2025-06-28,2025-07-13
60012,Riverside Teaching Hospital,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,54.0,60.1,Completed,25,3.3,2,5.4,2025-01-23,2025-02-17
60012,Riverside Teaching Hospital,M2,Trauma-Informed Care & Communication,Digital Workbook,40.7,47.9,Completed,8,2.6,1,5.1,2025-05-31,2025-06-08
60012,Riverside Teaching Hospital,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,60.7,71.8,Completed,2,4.4,1,1.2,2025-03-07,2025-03-09
60012,Riverside Teaching Hospital,M2,Empathic Communication Quick Course,Gamified Microlearning,61.5,82.4,Completed,4,5.0,1,1.3,2025-10-08,2025-10-12
60012,Riverside Teaching Hospital,M2,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,42.4,50.7,Completed,10,4.0,2,3.9,2025-09-16,2025-09-26
60012,Riverside Teaching Hospital,M2,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,51.1,57.6,Completed,13,3.8,1,3.6,2025-08-20,2025-09-02
60012,Riverside Teaching Hospital,M2,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,48.3,65.7,Completed,3,4.1,2,4.6,2025-05-13,2025-05-16
60013,Lakeside Medical Center,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,58.3,67.4,Completed,23,3.4,2,6.7,2025-07-12,2025-08-04
60013,Lakeside Medical Center,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,64.4,,Dropped,,1.7,2,1.3,2025-09-21,
60013,Lakeside Medical Center,M1,Trauma-Informed Care & Communication,Digital Workbook,54.7,62.8,Completed,15,3.3,2,4.8,2025-10-25,2025-11-09
60013,Lakeside Medical Center,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,50.7,70.0,Completed,2,4.7,1,1.0,2025-06-05,2025-06-07
60013,Lakeside Medical Center,M1,Empathic Communication Quick Course,Gamified Microlearning,64.5,87.2,Completed,5,5.0,2,1.6,2025-08-18,2025-08-23
60013,Lakeside Medical Center,M1,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,52.0,74.0,Completed,8,4.4,1,3.6,2025-07-23,2025-07-31
60013,Lakeside Medical Center,M1,Motivational Interviewing Workshop,Blended,63.7,78.3,Completed,6,4.9,1,2.8,2025-11-11,2025-11-17
60013,Lakeside Medical Center,M1,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,52.6,59.2,Completed,5,3.6,1,2.6,2025-03-25,2025-03-30
60014,Meridian Main Campus,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,52.2,,Not Started,,,0,0.0,2025-09-15,
60014,Meridian Main Campus,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,45.7,,Dropped,,2.1,2,0.5,2025-05-30,
60014,Meridian Main Campus,M3,Trauma-Informed Care & Communication,Digital Workbook,57.0,79.6,Completed,18,3.5,2,5.7,2025-08-02,2025-08-20
60014,Meridian Main Campus,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,43.4,70.1,Completed,3,4.6,2,1.3,2025-05-06,2025-05-09
60014,Meridian Main Campus,M3,Empathic Communication Quick Course,Gamified Microlearning,70.2,79.4,Completed,1,4.8,1,1.4,2025-03-24,2025-03-25
60014,Meridian Main Campus,M3,Motivational Interviewing Workshop,Blended,53.6,61.9,Completed,11,4.3,2,3.2,2025-08-12,2025-08-23
60014,Meridian Main Campus,M3,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,54.6,67.0,Completed,6,3.9,1,3.9,2025-10-09,2025-10-15
60015,University Health Partners,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,71.0,74.8,Completed,19,3.6,2,7.6,2025-09-16,2025-10-05
60015,University Health Partners,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,60.3,65.9,Completed,26,3.6,2,4.7,2025-04-13,2025-05-09
60015,University Health Partners,M1,Trauma-Informed Care & Communication,Digital Workbook,59.2,68.5,Completed,14,3.7,2,5.2,2025-03-09,2025-03-23
60015,University Health Partners,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,62.2,75.2,Completed,4,5.0,1,1.1,2025-02-14,2025-02-18
60015,University Health Partners,M1,Empathic Communication Quick Course,Gamified Microlearning,61.7,79.7,Completed,8,4.2,2,1.3,2025-09-26,2025-10-04
60015,University Health Partners,M1,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,50.2,65.2,Completed,15,3.4,2,3.7,2025-04-03,2025-04-18
60015,University Health Partners,M1,Motivational Interviewing Workshop,Blended,51.6,65.3,Completed,6,4.0,1,3.1,2025-06-06,2025-06-12
60016,Community Health Institute,M4,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,61.8,,Dropped,,2.2,2,0.4,2025-03-23,
60016,Community Health Institute,M4,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,70.2,81.0,Completed,20,3.2,3,5.2,2025-05-22,2025-06-11
60016,Community Health Institute,M4,Trauma-Informed Care & Communication,Digital Workbook,56.6,,Not Started,,,0,0.0,2025-06-21,
60016,Community Health Institute,M4,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,74.3,100.0,Completed,2,5.0,1,1.2,2025-09-26,2025-09-28
60016,Community Health Institute,M4,Empathic Communication Quick Course,Gamified Microlearning,56.9,70.7,Completed,3,4.6,2,1.9,2025-08-17,2025-08-20
60016,Community Health Institute,M4,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,44.6,62.3,Completed,14,3.8,1,3.4,2025-05-17,2025-05-31
60016,Community Health Institute,M4,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,59.6,71.3,Completed,17,3.0,2,4.1,2025-04-25,2025-05-12
60017,Community Health Institute,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,66.1,,Dropped,,2.2,2,0.9,2025-05-24,
60017,Community Health Institute,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,49.7,60.0,Completed,16,2.8,2,5.0,2025-06-12,2025-06-28
60017,Community Health Institute,M2,Trauma-Informed Care & Communication,Digital Workbook,53.7,,Not Started,,,0,0.0,2025-04-20,
60017,Community Health Institute,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,49.2,67.0,Completed,4,4.9,1,1.1,2025-01-12,2025-01-16
60017,Community Health Institute,M2,Empathic Communication Quick Course,Gamified Microlearning,36.5,55.1,Completed,4,5.0,1,1.7,2025-10-24,2025-10-28
60017,Community Health Institute,M2,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,64.9,79.9,Completed,10,4.1,1,3.6,2025-07-05,2025-07-15
60017,Community Health Institute,M2,Peer Mentorship & Clinical Team Communication,Blended,73.5,89.3,Completed,25,4.1,2,6.9,2025-09-14,2025-10-09
60018,University Health Partners,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,67.6,,In Progress,,2.9,1,3.4,2025-03-30,
60018,University Health Partners,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,66.9,62.4,Completed,15,3.1,2,5.4,2025-04-25,2025-05-10
60018,University Health Partners,M3,Trauma-Informed Care & Communication,Digital Workbook,62.3,,In Progress,,2.7,1,1.3,2025-07-10,
60018,University Health Partners,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,77.4,100.0,Completed,1,4.2,2,0.9,2025-04-16,2025-04-17
60018,University Health Partners,M3,Empathic Communication Quick Course,Gamified Microlearning,67.7,85.9,Completed,1,4.7,1,1.4,2025-07-19,2025-07-20
60018,University Health Partners,M3,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,66.9,89.7,Completed,2,4.1,1,4.1,2025-04-17,2025-04-19
60018,University Health Partners,M3,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,60.5,61.6,Completed,8,4.1,1,2.8,2025-09-19,2025-09-27
60019,Meridian Main Campus,M4,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,57.3,,Not Started,,,0,0.0,2025-05-06,
60019,Meridian Main Campus,M4,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,68.4,63.7,Completed,12,3.2,2,5.6,2025-07-26,2025-08-07
60019,Meridian Main Campus,M4,Trauma-Informed Care & Communication,Digital Workbook,51.3,67.8,Completed,17,3.3,2,5.8,2025-07-30,2025-08-16
60019,Meridian Main Campus,M4,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,63.0,78.0,Completed,2,4.0,2,0.9,2025-06-26,2025-06-28
60019,Meridian Main Campus,M4,Empathic Communication Quick Course,Gamified Microlearning,43.7,63.0,Completed,4,4.1,2,1.6,2025-05-08,2025-05-12
60019,Meridian Main Campus,M4,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,69.2,,In Progress,,3.0,1,1.6,2025-07-22,
60019,Meridian Main Campus,M4,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,57.2,71.1,Completed,13,4.2,2,3.3,2025-04-04,2025-04-17
60019,Meridian Main Campus,M4,Peer Mentorship & Clinical Team Communication,Blended,49.3,72.5,Completed,23,4.4,2,7.5,2025-09-05,2025-09-28
60020,Lakeside Medical Center,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,44.9,42.4,Completed,9,4.2,1,7.6,2025-01-21,2025-01-30
60020,Lakeside Medical Center,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,50.3,52.7,Completed,8,3.3,3,6.6,2025-03-13,2025-03-21
60020,Lakeside Medical Center,M1,Trauma-Informed Care & Communication,Digital Workbook,38.0,41.9,Completed,18,4.4,3,5.5,2025-05-17,2025-06-04
60020,Lakeside Medical Center,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,48.6,54.7,Completed,2,4.7,1,1.1,2025-03-10,2025-03-12
60020,Lakeside Medical Center,M1,Empathic Communication Quick Course,Gamified Microlearning,35.8,46.0,Completed,5,4.3,3,1.3,2025-02-02,2025-02-07
60020,Lakeside Medical Center,M1,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,40.8,,In Progress,,3.1,2,1.7,2025-06-06,
60020,Lakeside Medical Center,M1,Motivational Interviewing Workshop,Blended,52.3,62.5,Completed,5,3.8,1,2.3,2025-05-19,2025-05-24
60020,Lakeside Medical Center,M1,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,36.7,37.1,Completed,9,3.7,1,3.2,2025-07-18,2025-07-27
60021,Lakeside Medical Center,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,88.9,99.4,Completed,13,2.8,1,6.4,2025-10-07,2025-10-20
60021,Lakeside Medical Center,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,90.0,,Dropped,,1.5,1,1.0,2025-11-15,
60021,Lakeside Medical Center,M1,Trauma-Informed Care & Communication,Digital Workbook,82.8,100.0,Completed,15,3.1,2,4.6,2025-02-03,2025-02-18
60021,Lakeside Medical Center,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,80.3,100.0,Completed,4,4.3,1,1.1,2025-11-17,2025-11-21
60021,Lakeside Medical Center,M1,Empathic Communication Quick Course,Gamified Microlearning,85.1,,In Progress,,3.2,2,0.6,2025-09-09,
60021,Lakeside Medical Center,M1,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,85.5,100.0,Completed,3,3.9,1,3.2,2025-09-19,2025-09-22
60022,University Health Partners,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,65.3,66.1,Completed,18,3.3,2,6.9,2025-08-22,2025-09-09
60022,University Health Partners,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,42.9,51.8,Completed,17,3.3,2,6.1,2025-09-15,2025-10-02
60022,University Health Partners,M3,Trauma-Informed Care & Communication,Digital Workbook,58.8,54.0,Completed,17,3.1,3,5.6,2025-04-28,2025-05-15
60022,University Health Partners,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,47.2,72.4,Completed,3,4.8,2,1.0,2025-03-05,2025-03-08
60022,University Health Partners,M3,Empathic Communication Quick Course,Gamified Microlearning,54.7,70.2,Completed,4,4.5,1,1.8,2025-03-23,2025-03-27
60022,University Health Partners,M3,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,42.3,60.3,Completed,18,3.9,2,5.2,2025-03-05,2025-03-23
60022,University Health Partners,M3,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,46.8,59.3,Completed,7,4.2,1,2.6,2025-02-15,2025-02-22
60023,Community Health Institute,M1,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,58.4,64.1,Completed,20,3.5,2,6.4,2025-04-16,2025-05-06
60023,Community Health Institute,M1,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,54.4,64.1,Completed,11,3.0,1,7.0,2025-08-20,2025-08-31
60023,Community Health Institute,M1,Trauma-Informed Care & Communication,Digital Workbook,76.8,89.9,Completed,13,3.7,3,4.8,2025-05-23,2025-06-05
60023,Community Health Institute,M1,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,74.6,91.7,Completed,2,4.0,1,1.0,2025-11-05,2025-11-07
60023,Community Health Institute,M1,Empathic Communication Quick Course,Gamified Microlearning,48.7,58.6,Completed,6,3.7,2,1.4,2025-02-24,2025-03-02
60023,Community Health Institute,M1,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,46.0,64.4,Completed,9,4.0,1,3.5,2025-04-28,2025-05-07
60023,Community Health Institute,M1,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,59.2,65.1,Completed,11,4.0,2,3.8,2025-06-08,2025-06-19
60023,Community Health Institute,M1,Peer Mentorship & Clinical Team Communication,Blended,51.4,66.1,Completed,21,4.0,2,6.3,2025-06-24,2025-07-15
60024,University Health Partners,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,62.9,71.5,Completed,20,2.8,1,5.3,2025-08-30,2025-09-19
60024,University Health Partners,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,54.7,60.1,Completed,17,3.3,2,6.1,2025-06-22,2025-07-09
60024,University Health Partners,M2,Trauma-Informed Care & Communication,Digital Workbook,52.5,,In Progress,,2.9,2,2.8,2025-06-20,
60024,University Health Partners,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,55.7,76.1,Completed,2,3.9,1,0.9,2025-02-04,2025-02-06
60024,University Health Partners,M2,Empathic Communication Quick Course,Gamified Microlearning,68.2,97.0,Completed,7,4.2,2,1.5,2025-02-22,2025-03-01
60024,University Health Partners,M2,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,65.7,73.1,Completed,7,4.2,1,3.5,2025-09-02,2025-09-09
60024,University Health Partners,M2,Understanding Implicit Bias in Clinical Decision-Making,Digital Workbook,69.7,81.2,Completed,5,3.6,1,3.5,2025-03-09,2025-03-14
60024,University Health Partners,M2,Peer Mentorship & Clinical Team Communication,Blended,72.3,,In Progress,,3.7,1,1.7,2025-11-04,
